Name	Score
Brandon	98
Katherine	95
Megan	94
David	93
Katie	92
Christopher	91
Lily	91
Laura	91
Casey	90
Scott	89
Jessie	87
Tristan	87
Isabella	84
Matt	82
Rebecca	82
Tracy	82
Celia	79
Kaitlyn	78
Jordan	77
Diego	75
Kelly	75
Leila	75
Vincent	74
Marco	72
Mackenzie	72
Madison	69
Olivia	69
Jonathan	67
Gina	65
Darren	64
Brett	62
Paul	62
Ryan	61
Ashley	60
Mariah	60
Madeline	59
Michael	58
Jesse	57
Maria	55
Julia	53
Justin	52
Jennifer	52
Kelsey	51
Bryant	50
Caleb	49
Lindsey	48
Clayton	47
Eric	47
Jason	47
Brandy	45
Brittany	45
Logan	44
Lucia	44
Courtney	42
Liam	42
Catherine	41
Steve	41
Kyle	39
Angela	36
Jessica	35
Alejandro	34
Mark	33
Jeanne	32
Martha	32
Taylor	31
Anna	30
Lori	30
Frank	28
Kayla	27
Kimberly	25
Theodore	24
Ellen	22
Richard	22
Thomas	22
Sebastian	21
Jackie	18
Cody	17
Nicole	16
Deshawn	15
Sydney	15
Kristen	14
Paula	14
Alyssa	12
Chad	12
Steven	11
Zachary	11
Kendall	10
Laren	8
Giselle	7
Elizabeth	5
Pauline	5
William	5
Andrew	3
Frances	0
Sarah	0
Samantha	0
